400 PA5-F-Debug-Output.txt 6
   11.0641  171.7152  -15.4777   28.1595  -29.9028  -33.2321
  -11.45     1.74     8.05       -11.69     1.76     8.06     0.237
  -30.94   -10.79   -51.06       -30.98   -10.80   -51.14     0.096
  -43.18   -15.58   -32.60       -43.10   -15.56   -32.61     0.080
   25.94    -6.13   -25.68        25.93    -6.15   -25.70     0.025
   -1.54    11.84     1.51        -1.52    11.80     1.53     0.056
   -2.51     2.59    45.59        -2.46     2.60    45.59     0.047
    5.19    -0.27   -20.37         5.25    -0.21   -20.45     0.121
  -10.89    -5.49   -51.04       -10.93    -5.50   -51.00     0.062
    3.66    22.65    25.84         3.64    22.57    25.85     0.076
   11.48    23.55     0.55        11.50    23.48     0.56     0.078
  -38.73     2.59   -29.60       -38.75     2.60   -29.60     0.017
   20.66    22.77     8.50        20.70    22.86     8.50     0.101
   26.66   -11.21   -19.84        26.67   -11.22   -19.84     0.018
   25.49    17.48   -15.97        25.51    17.49   -15.98     0.019
    1.24    -3.19   -25.99         1.22    -3.21   -25.97     0.027
   16.07    -3.72    41.18        16.06    -3.60    41.18     0.116
   25.39    15.89    12.86        25.35    15.87    12.84     0.047
  -34.04     1.42   -17.82       -34.10     1.49   -17.77     0.104
   31.96     0.80   -19.57        31.99     0.81   -19.58     0.030
  -17.97     8.91   -20.13       -17.96     8.78   -20.19     0.137
  -37.60    -5.29   -42.26       -37.66    -5.32   -42.29     0.066
   11.29     8.96   -20.77        11.32     9.02   -20.78     0.068
   22.79    13.72    41.17        22.78    13.72    41.17     0.013
   24.47    19.58    -7.38        24.42    19.51    -7.37     0.083
  -13.35    17.23    25.72       -13.43    17.25    25.65     0.110
  -18.56    -8.57    -6.05       -18.56    -8.57    -6.06     0.005
   23.41     9.71    52.90        23.23     9.70    52.88     0.184
   24.20    19.37    11.46        24.22    19.38    11.47     0.020
   -7.93     5.98    22.49        -7.99     5.93    22.52     0.083
    1.36    19.33    56.45         1.41    19.21    56.45     0.127
   32.51    12.15     3.25        32.41    12.07     3.21     0.139
   10.12    -3.93    64.36        10.10    -4.25    64.34     0.324
   10.03    18.58   -25.01        10.03    18.59   -25.02     0.017
    4.50    -3.14    56.10         4.54    -3.05    56.11     0.097
    5.24    -8.01    17.36         5.20    -7.86    17.31     0.159
   11.42    -5.16    22.82        11.43    -5.15    22.81     0.014
    8.53    19.69   -11.17         8.47    19.73   -11.17     0.076
   -9.42   -24.87   -16.51        -9.46   -24.83   -16.54     0.056
   25.35     2.49    28.72        25.58     2.41    28.77     0.246
  -40.32    -1.81   -24.91       -40.36    -1.78   -24.90     0.048
   -7.46   -10.18   -48.23        -7.55   -10.19   -48.16     0.115
   19.21    -1.28    51.46        19.32    -1.37    51.49     0.138
   18.41    -3.20    41.32        18.39    -3.13    41.31     0.075
   13.13    -3.66    43.32        13.13    -3.62    43.32     0.034
  -42.11   -18.32   -34.07       -42.14   -18.34   -34.07     0.037
  -28.20   -18.14   -11.28       -28.16   -18.12   -11.34     0.079
   -7.32   -10.36   -47.76        -7.25   -10.36   -47.82     0.089
   16.96    -8.60     6.13        16.98    -8.64     6.14     0.040
   16.71    -3.62    48.74        16.69    -3.53    48.73     0.087
   20.74    -2.00    39.56        20.85    -2.13    39.57     0.166
    9.71    22.40    33.75         9.72    22.35    33.75     0.056
    5.80    17.81    -3.54         5.86    17.79    -3.53     0.064
   -3.76    16.04    15.16        -3.69    15.93    15.22     0.137
   16.04    23.27    43.21        16.04    23.24    43.21     0.024
  -38.23     2.85   -27.73       -38.27     2.87   -27.72     0.042
   18.41   -14.22   -15.52        18.38   -14.17   -15.51     0.055
   -1.57     4.03    63.58        -1.56     4.03    63.57     0.006
  -38.91   -15.52   -39.94       -38.97   -15.49   -39.99     0.078
   11.57    -3.84    33.89        11.57    -3.85    33.89     0.014
    7.26     8.98    -7.47         7.26     8.96    -7.45     0.022
   -3.83     5.71   -18.80        -3.86     5.65   -18.79     0.063
    0.25     4.64    66.26         0.26     4.63    66.17     0.091
   21.19    -1.32    40.44        21.23    -1.35    40.45     0.049
   23.19    11.91    52.61        23.06    11.89    52.59     0.137
   27.91    17.00     4.64        27.87    16.95     4.64     0.059
   -7.38     6.42   -28.49        -7.26     6.48   -28.48     0.139
  -17.75   -32.11   -35.73       -17.75   -32.11   -35.73     0.006
   34.17     8.50    -9.28        34.23     8.55    -9.31     0.086
  -19.57   -26.88   -15.29       -19.56   -26.89   -15.28     0.019
   -6.70    13.72    42.39        -6.76    13.68    42.45     0.096
  -32.41   -16.18   -12.58       -32.39   -16.16   -12.60     0.035
  -42.69   -17.21   -33.96       -42.72   -17.22   -33.96     0.030
    5.06    14.90    -1.31         4.94    14.92    -1.33     0.128
  -34.97    -2.31   -16.66       -35.03    -2.29   -16.60     0.089
   -3.23     5.86    60.79        -3.27     5.84    60.79     0.040
  -35.02     3.16   -41.89       -34.95     3.12   -41.83     0.100
   -9.53    23.98    36.37        -9.58    24.10    36.39     0.136
   27.31   -11.16   -18.82        27.29   -11.13   -18.81     0.038
   21.52    16.22    48.63        21.41    16.16    48.63     0.127
   24.37    20.68     2.99        24.41    20.73     3.00     0.058
  -13.81   -31.65   -29.33       -13.75   -31.77   -29.31     0.134
   27.37    -9.36    -9.23        27.35    -9.34    -9.23     0.021
    0.96    15.02     7.29         0.94    15.05     7.27     0.044
    6.22    -0.76   -19.96         6.23    -0.75   -19.97     0.019
   14.52    22.37    54.61        14.52    22.36    54.61     0.010
   19.96     5.72    66.17        19.96     5.72    66.18     0.009
   17.55     8.43   -27.30        17.54     8.41   -27.32     0.024
   -3.84    11.70    49.65        -3.86    11.70    49.66     0.018
  -36.18   -17.69   -44.53       -36.15   -17.66   -44.50     0.055
  -16.90   -31.73   -25.04       -16.90   -31.74   -25.04     0.013
   31.15    -4.83    -2.22        31.14    -4.83    -2.21     0.013
   31.53    11.65   -11.03        31.57    11.67   -11.05     0.055
   11.23    -5.45    22.13        11.27    -5.34    22.10     0.112
   21.06     6.91   -27.20        21.05     6.94   -27.28     0.081
  -37.53   -16.12   -42.55       -37.58   -16.15   -42.55     0.051
  -26.78    -0.68   -14.29       -26.79    -0.65   -14.27     0.038
  -24.86    10.46   -39.38       -24.86    10.44   -39.38     0.021
  -39.63     0.59   -27.28       -39.58     0.56   -27.31     0.064
  -23.59   -17.22   -51.91       -23.60   -17.22   -51.94     0.038
    4.63     6.18   -13.05         4.58     6.06   -12.98     0.148
   21.28    16.32    44.32        21.34    16.36    44.32     0.062
   31.91    -0.52   -19.93        31.94    -0.53   -19.94     0.033
  -18.25   -21.21   -11.18       -18.22   -21.30   -11.11     0.116
  -14.45    21.18    30.51       -14.42    21.16    30.53     0.043
   21.32    22.18    10.38        21.27    22.07    10.36     0.124
    3.79   -14.71   -23.50         3.84   -14.73   -23.53     0.064
  -24.04    -8.72   -10.15       -24.05    -8.72   -10.14     0.009
  -39.29   -22.17   -35.63       -39.28   -22.16   -35.63     0.014
   33.26    -0.66   -14.74        33.31    -0.68   -14.75     0.058
   23.71    -8.85     0.24        23.70    -8.80     0.22     0.052
   19.14    21.92   -12.01        19.15    21.96   -12.01     0.041
    6.45    16.67   -16.09         6.38    16.63   -16.08     0.089
    5.48    -3.65    65.51         5.50    -3.59    65.49     0.063
   20.57    19.21    24.42        20.62    19.24    24.43     0.069
   20.49    22.76     2.00        20.58    22.95     2.00     0.206
  -17.04    -7.38   -52.75       -17.05    -7.38   -52.79     0.037
    6.72    18.20    -5.53         6.66    18.22    -5.53     0.066
    7.20    14.77   -16.78         7.20    14.76   -16.78     0.005
   17.15    -3.85    36.42        17.14    -3.84    36.42     0.019
  -12.53     4.96    -8.39       -12.49     4.88    -8.41     0.091
   -1.88    -7.80   -36.85        -1.91    -7.80   -36.85     0.028
   -1.18    -6.48   -30.99        -1.22    -6.49   -30.97     0.045
    4.17    -2.44    45.17         4.19    -2.40    45.16     0.050
    9.91    -3.71    51.09         9.91    -3.69    51.09     0.022
   17.55    21.98    41.42        17.57    21.99    41.42     0.021
  -14.74     3.79    -7.82       -14.60     3.64    -7.89     0.215
  -39.54   -10.02   -37.73       -39.57   -10.01   -37.79     0.073
   17.23    21.16    56.56        17.28    21.21    56.56     0.067
    6.07    17.80    -4.28         5.97    17.85    -4.29     0.110
   -1.70   -10.45     1.92        -1.70   -10.48     1.94     0.030
    3.46    -9.91    11.33         3.48    -9.83    11.28     0.097
   23.45    -4.75    17.58        23.42    -4.60    17.56     0.150
  -30.58     9.81   -28.21       -30.57     9.78   -28.22     0.036
  -37.82   -14.19   -17.92       -37.87   -14.20   -17.87     0.070
   -7.11   -27.76   -31.83        -7.06   -27.84   -31.84     0.097
    8.15    11.87    -6.38         8.25    11.88    -6.35     0.110
   -3.14    18.50    17.07        -3.15    18.52    17.06     0.027
   19.49    21.01    21.92        19.51    21.04    21.92     0.032
   22.76    13.17    37.22        23.01    13.31    37.23     0.279
  -12.47    23.30    33.07       -12.47    23.31    33.07     0.006
  -17.45   -32.49   -28.40       -17.44   -32.49   -28.40     0.008
    6.16    14.13    -3.44         6.23    14.15    -3.43     0.079
    2.39   -18.63   -23.75         2.33   -18.61   -23.72     0.068
    9.31    21.38    -5.27         9.35    21.34    -5.27     0.059
   -1.95    18.27    15.58        -1.89    18.21    15.65     0.105
   18.83    -3.54    39.32        18.72    -3.27    39.28     0.292
   25.30    19.23    -3.12        25.31    19.24    -3.12     0.025
  -27.11   -18.22   -50.65       -27.11   -18.22   -50.63     0.015
   25.64     7.54   -26.09        25.67     7.58   -26.14     0.068
   18.49    -1.81    60.90        18.44    -1.77    60.90     0.061
    8.04    -4.47    28.67         8.05    -4.56    28.69     0.090
   16.68    -3.65    47.64        16.67    -3.58    47.64     0.077
   14.10    11.55   -27.80        14.12    11.55   -27.71     0.083
  -28.94   -24.35   -15.88       -28.90   -24.27   -15.93     0.103
  -38.81   -18.91   -21.96       -38.83   -18.92   -21.95     0.027
    2.97   -20.02   -21.46         2.92   -20.00   -21.43     0.066
   -2.24    20.98    19.33        -2.18    20.89    19.39     0.121
    1.75    -5.69   -26.47         1.84    -5.62   -26.55     0.135
   -3.80     8.68    63.33        -3.94     8.68    63.33     0.140
   14.00    23.38    -4.49        14.02    23.30    -4.48     0.083
   20.98    10.24   -26.71        20.96    10.22   -26.69     0.035
   27.63    16.80    -2.10        27.60    16.78    -2.10     0.032
   -4.27    13.99    11.32        -4.23    13.92    11.35     0.094
   -2.14    17.75    15.49        -2.17    17.81    15.46     0.076
  -11.57   -28.07   -41.86       -11.60   -28.02   -41.82     0.072
   -1.00    17.34    53.99        -1.11    17.46    54.00     0.157
   -2.79   -17.39   -41.77        -2.82   -17.38   -41.76     0.035
    0.35    13.31     2.79         0.36    13.30     2.80     0.014
   -6.10   -11.84    -2.20        -6.09   -11.79    -2.24     0.060
  -24.87    11.93   -27.20       -24.87    11.91   -27.20     0.022
   29.50    -7.77   -19.63        29.41    -7.73   -19.60     0.102
    6.00    17.94    -4.44         6.02    17.94    -4.44     0.026
    9.10     7.18    67.25         9.10     7.19    67.25     0.010
  -36.56   -24.12   -37.39       -36.67   -24.27   -37.50     0.213
   -3.04   -24.30   -22.26        -3.05   -24.30   -22.26     0.015
   16.15    12.19    65.38        16.15    12.19    65.39     0.009
  -11.28    23.53    36.35       -11.23    23.43    36.33     0.110
    6.54     2.61   -16.65         6.50     2.58   -16.60     0.064
    1.88     5.90   -13.97         1.89     5.94   -13.99     0.035
   11.33   -14.31    -2.41        11.32   -14.30    -2.41     0.014
   -6.11    -7.84     4.79        -6.15    -7.92     4.82     0.098
   30.53    -5.63    -3.21        30.53    -5.63    -3.21     0.003
   18.11    20.32    33.49        18.29    20.47    33.46     0.236
   -6.05    24.54    34.34        -6.06    24.51    34.34     0.027
  -36.10   -24.90   -37.31       -36.08   -24.88   -37.29     0.026
    8.17    21.74    41.57         8.17    21.70    41.57     0.036
   31.30    12.34    -5.76        31.28    12.31    -5.76     0.038
    3.68    22.43    26.91         3.70    22.58    26.91     0.154
    4.84    -3.42    64.48         4.81    -3.52    64.48     0.100
  -26.99    11.18   -25.83       -26.99    11.19   -25.83     0.008
   -7.44     7.20     0.66        -7.51     7.31     0.62     0.137
   23.61     0.44    34.68        23.56     0.47    34.68     0.059
   33.80    -0.53    -9.86        33.83    -0.57    -9.86     0.046
  -37.83   -17.35   -41.54       -37.81   -17.37   -41.54     0.033
    4.11    20.26     9.34         4.12    20.25     9.35     0.021
   -5.05   -11.74    -2.18        -5.05   -11.79    -2.15     0.055
   21.73     1.56    49.44        21.80     1.53    49.45     0.080
   -6.26   -16.87    -9.65        -6.27   -16.94    -9.60     0.090
  -37.16   -18.87   -19.39       -37.13   -18.84   -19.42     0.044
    1.29    -1.26    59.26         1.32    -1.24    59.25     0.038
  -13.11    10.88   -27.78       -13.12    10.83   -27.78     0.052
   10.81    -5.18    21.87        10.78    -5.26    21.90     0.088
   12.73    22.86    36.04        12.74    22.85    36.04     0.017
    2.69   -10.22     8.98         2.69   -10.18     8.97     0.045
  -21.04   -30.05   -18.99       -21.04   -30.04   -18.99     0.006
   27.24    17.13   -12.90        27.17    17.07   -12.88     0.086
    3.57   -15.15   -23.92         3.53   -15.13   -23.90     0.047
   22.88    15.13    26.27        22.79    15.09    26.26     0.097
   23.13    12.86    41.22        23.15    12.87    41.22     0.020
    0.37    17.71    12.50         0.41    17.68    12.52     0.058
  -21.95     9.95   -20.92       -21.94    10.01   -20.86     0.083
   22.78     8.32   -26.67        22.78     8.33   -26.69     0.020
    4.10   -17.66   -11.17         4.08   -17.61   -11.18     0.053
  -30.78   -29.75   -31.54       -30.77   -29.72   -31.54     0.033
  -16.54   -30.19   -40.65       -16.53   -30.22   -40.66     0.025
  -31.72   -14.28   -11.51       -31.72   -14.28   -11.52     0.012
  -40.19   -13.73   -20.91       -40.19   -13.73   -20.91     0.002
  -28.84   -30.06   -24.34       -28.81   -30.02   -24.35     0.045
   16.85   -12.05    -2.06        16.84   -12.01    -2.09     0.050
   -8.67   -24.59   -17.49        -8.72   -24.55   -17.51     0.071
   25.68     4.49    29.10        25.68     4.49    29.10     0.003
   -1.15     7.67    -8.94        -1.15     7.68    -8.94     0.011
  -29.96   -27.50   -20.35       -30.00   -27.53   -20.32     0.056
  -18.23   -28.69   -43.70       -18.23   -28.70   -43.71     0.011
   30.76    -0.06    12.53        30.74    -0.06    12.52     0.022
  -26.97   -14.61   -51.46       -26.97   -14.59   -51.42     0.042
    2.45    -3.19    39.08         2.44    -3.13    39.06     0.065
   23.66    12.71    31.12        23.69    12.73    31.12     0.032
   22.82    13.89   -22.77        22.83    13.90   -22.78     0.018
   20.66     7.05    65.71        20.65     7.03    65.66     0.055
  -27.44     1.36   -15.12       -27.45     1.30   -15.25     0.148
   19.32    10.45    65.61        19.32    10.45    65.57     0.042
   -6.38    14.47    15.70        -6.40    14.48    15.69     0.029
  -26.28     9.71   -39.66       -26.25     9.65   -39.63     0.066
  -39.77    -2.38   -41.08       -39.64    -2.45   -41.02     0.165
    0.06   -13.53   -32.29         0.05   -13.54   -32.29     0.014
   27.90     9.86   -21.67        28.00     9.97   -21.72     0.156
   15.60    -8.60   -25.57        15.61    -8.60   -25.55     0.022
   19.41     0.92   -26.17        19.41     0.92   -26.16     0.002
   -3.13     5.62    42.43        -3.29     5.58    42.44     0.157
  -27.65   -30.70   -36.86       -27.69   -30.82   -36.92     0.143
   -0.36    -8.75    11.96        -0.47    -9.00    12.00     0.277
   16.62     4.40   -24.21        16.68     4.40   -24.16     0.075
   15.54     9.50    65.85        15.54     9.48    65.80     0.052
  -27.54   -23.22   -47.59       -27.50   -23.16   -47.51     0.103
   20.67     3.81   -27.09        20.68     3.82   -27.05     0.041
    9.41    11.59   -12.19         9.40    11.58   -12.19     0.011
   22.97    20.81    11.79        23.01    20.85    11.80     0.060
   -0.72    16.17    11.14        -0.69    16.15    11.16     0.045
  -18.68     0.04   -51.63       -18.67     0.03   -51.62     0.025
   25.99    10.56    18.98        26.05    10.58    18.99     0.064
  -21.70   -31.21   -22.02       -21.70   -31.24   -22.02     0.029
    2.99    19.47    61.95         3.00    19.43    61.95     0.037
   -4.23   -12.76   -44.32        -4.19   -12.76   -44.36     0.055
  -32.91   -20.64   -45.46       -32.97   -20.68   -45.52     0.091
  -38.80     2.79   -33.86       -38.73     2.74   -33.87     0.089
    5.03    -1.01   -21.04         5.05    -1.00   -21.05     0.021
  -25.57     6.57   -18.21       -25.57     6.54   -18.27     0.065
  -11.92   -28.58   -41.61       -11.98   -28.48   -41.53     0.144
  -17.33   -32.42   -33.75       -17.33   -32.42   -33.75     0.002
  -32.46   -11.56   -11.84       -32.45   -11.56   -11.87     0.033
   -0.30    17.94    55.75        -0.32    17.97    55.76     0.034
   13.11    -4.20    30.06        13.11    -4.24    30.07     0.043
  -34.98    -1.79   -46.48       -34.96    -1.80   -46.45     0.040
  -32.04   -26.37   -20.46       -32.00   -26.31   -20.49     0.072
   -2.01   -21.24   -38.43        -2.02   -21.24   -38.43     0.011
   28.84     8.65   -21.86        28.84     8.65   -21.86     0.001
   11.15     1.11   -16.97        11.18     1.11   -16.94     0.044
   -4.33    10.58    45.93        -4.27    10.60    45.91     0.069
    4.36    21.60    35.76         4.37    21.65    35.76     0.050
   -6.67    16.00    18.40        -6.65    15.97    18.42     0.039
  -25.00   -20.57   -50.28       -24.99   -20.54   -50.24     0.050
   32.90    -1.79     7.75        32.91    -1.79     7.76     0.005
    1.01    -1.01    58.70         1.05    -0.97    58.70     0.053
  -12.92     9.57   -38.86       -12.92     9.56   -38.86     0.007
  -43.30    -5.36   -30.62       -43.33    -5.34   -30.61     0.042
  -19.19   -31.31   -22.40       -19.18   -31.43   -22.38     0.123
  -21.78   -20.15   -10.48       -21.80   -20.19   -10.42     0.077
   31.84    -4.79     4.26        31.91    -4.86     4.26     0.103
  -14.44     8.15   -18.13       -14.45     8.18   -18.11     0.042
   -3.01    -5.86    22.08        -3.11    -5.96    22.09     0.135
  -21.31   -23.96   -13.29       -21.30   -23.91   -13.35     0.074
   31.14    -2.51   -20.49        31.22    -2.54   -20.51     0.096
   -4.60    18.30    46.81        -4.35    18.27    46.70     0.278
   22.87    21.13     9.01        22.99    21.26     9.02     0.177
  -40.14   -21.81   -33.26       -40.14   -21.81   -33.26     0.002
   10.93    23.78    16.09        10.88    23.60    16.07     0.185
    0.45    -2.50    40.37         0.41    -2.56    40.37     0.075
    5.09   -14.72   -22.00         5.08   -14.71   -21.97     0.037
  -30.08   -26.46   -42.61       -30.04   -26.39   -42.56     0.096
   -9.50   -24.25   -44.33        -9.41   -24.31   -44.41     0.131
  -14.00     1.60   -50.05       -14.00     1.63   -50.08     0.043
   29.67    14.06    -3.84        29.68    14.07    -3.84     0.015
   11.97    22.46    26.34        11.96    22.51    26.35     0.044
   16.99    23.77    -0.99        16.97    23.66    -0.97     0.115
   24.52    20.51     0.04        24.49    20.48     0.05     0.038
  -33.25    -9.54   -12.47       -33.25    -9.55   -12.49     0.024
   32.66     4.15   -15.98        32.56     4.08   -15.91     0.141
  -21.06   -22.20   -12.03       -21.07   -22.23   -12.00     0.050
  -42.58   -11.11   -26.55       -42.54   -11.11   -26.56     0.041
    9.26    23.52    15.28         9.24    23.60    15.29     0.085
   26.02    -9.36   -22.03        26.03    -9.38   -22.05     0.033
  -19.56   -11.89   -53.45       -19.57   -11.88   -53.40     0.052
    9.98    20.96   -15.28         9.97    20.99   -15.28     0.025
   24.20     4.87   -27.85        24.19     4.88   -27.87     0.028
  -14.08   -23.28   -13.75       -14.08   -23.29   -13.74     0.011
    1.22    -9.84    11.84         1.23    -9.68    11.82     0.154
   20.64    -4.18    25.68        20.69    -4.27    25.70     0.110
   -8.86    19.79    23.40        -8.84    19.76    23.42     0.038
   14.45    23.97    43.47        14.39    23.79    43.49     0.193
   16.67    -2.83   -23.15        16.66    -2.83   -23.16     0.014
  -21.14    11.21   -38.89       -21.13    11.27   -38.90     0.056
   22.01     5.35    63.66        22.15     5.33    63.66     0.140
  -12.45    -8.20   -52.54       -12.45    -8.20   -52.56     0.021
   -4.03     8.72    45.75        -3.91     8.75    45.72     0.124
  -10.37    19.71    42.57       -10.38    19.72    42.59     0.024
   17.83    24.07     3.68        17.85    24.12     3.68     0.049
  -34.94    -1.19   -45.92       -35.00    -1.15   -45.97     0.086
   -9.59   -25.76   -18.38        -9.59   -25.76   -18.39     0.010
   29.35    -6.81    -0.52        29.43    -6.87    -0.51     0.108
  -23.66    -3.77   -51.84       -23.67    -3.77   -51.80     0.042
   33.61    11.43    -0.56        33.58    11.41    -0.55     0.040
   33.30     3.56     7.95        33.26     3.55     7.93     0.041
    3.55    -2.69    58.89         3.62    -2.58    58.89     0.133
  -21.64     9.80   -41.88       -21.63     9.79   -41.86     0.021
    2.87     1.98   -19.92         2.85     1.94   -19.90     0.048
  -27.82   -24.90   -15.80       -27.90   -24.99   -15.70     0.154
   11.79     4.59   -16.90        11.82     4.58   -16.89     0.027
   -2.27    -3.29   -31.47        -2.22    -3.26   -31.47     0.061
   33.65     8.29   -11.04        33.68     8.31   -11.05     0.039
  -33.46     7.43   -35.74       -33.47     7.45   -35.75     0.024
   20.27    22.98     6.22        20.30    23.05     6.22     0.082
    7.13    20.70    59.28         7.08    20.81    59.28     0.116
  -30.88     8.28   -36.94       -30.88     8.29   -36.95     0.011
  -13.90     4.09    -7.12       -13.83     4.01    -7.15     0.109
   26.44    18.07    -9.34        26.41    18.04    -9.33     0.041
    0.88   -11.23   -29.11         0.89   -11.22   -29.12     0.018
  -18.82    11.57   -25.38       -18.82    11.62   -25.38     0.052
  -35.08   -19.03   -16.92       -35.01   -18.99   -16.97     0.100
  -13.60    11.68    34.12       -13.61    11.62    34.13     0.065
   26.41    10.89   -22.20        26.43    10.92   -22.23     0.050
    5.04    -2.75    41.73         5.03    -2.78    41.73     0.032
   -3.19     6.86    51.98        -3.22     6.86    51.98     0.037
  -16.66    -8.18   -52.91       -16.65    -8.18   -52.85     0.063
   21.53    22.37     1.94        21.57    22.46     1.95     0.093
   10.80     7.84    66.03        10.84     7.82    66.05     0.046
    1.56     7.27    66.23         1.56     7.27    66.24     0.016
  -21.34   -10.19    -7.68       -21.36   -10.19    -7.65     0.038
   16.84    21.52    62.68        16.83    21.50    62.68     0.022
    6.40    22.72    13.92         6.36    22.78    13.92     0.070
   17.98    -2.67    50.58        18.11    -2.88    50.60     0.243
   14.64    -3.58    55.16        14.63    -3.68    55.16     0.097
    2.12   -13.40   -26.17         2.12   -13.40   -26.18     0.003
  -26.09   -11.50   -52.39       -26.07   -11.48   -52.37     0.035
