400 PA5-F-Debug-Answer.txt 6
   11.5190  171.4056  -15.9904   28.5911  -29.9382  -33.3179
  -28.18   -18.15   -11.27       -28.15   -18.13   -11.33     0.073
   -7.32   -10.37   -47.76        -7.25   -10.37   -47.82     0.091
   16.98    -8.60     6.12        16.99    -8.64     6.14     0.042
   16.73    -3.63    48.73        16.72    -3.54    48.73     0.088
   20.76    -2.00    39.55        20.86    -2.12    39.57     0.156
    9.73    22.39    33.75         9.74    22.34    33.75     0.050
    5.80    17.81    -3.54         5.84    17.79    -3.53     0.042
   -3.75    16.03    15.16        -3.69    15.94    15.22     0.120
   16.06    23.26    43.21        16.05    23.24    43.21     0.022
  -38.23     2.84   -27.72       -38.27     2.86   -27.71     0.045
   18.41   -14.22   -15.53        18.40   -14.19   -15.52     0.030
   -1.54     4.02    63.58        -1.56     4.01    63.58     0.019
  -38.91   -15.53   -39.93       -38.96   -15.50   -39.97     0.067
   11.59    -3.85    33.89        11.59    -3.86    33.89     0.014
    7.26     8.97    -7.47         7.27     8.96    -7.46     0.020
   -3.83     5.71   -18.80        -3.85     5.66   -18.79     0.051
    0.28     4.63    66.26         0.28     4.62    66.19     0.075
   21.21    -1.33    40.44        21.24    -1.35    40.44     0.034
   23.22    11.90    52.61        23.06    11.88    52.59     0.155
   27.92    17.00     4.64        27.88    16.95     4.63     0.064
   -7.38     6.42   -28.49        -7.24     6.49   -28.48     0.157
  -17.74   -32.11   -35.73       -17.74   -32.11   -35.73     0.003
   34.17     8.50    -9.29        34.24     8.55    -9.32     0.089
  -19.56   -26.89   -15.29       -19.55   -26.90   -15.27     0.022
   -6.69    13.71    42.39        -6.77    13.65    42.48     0.134
  -32.40   -16.19   -12.57       -32.38   -16.17   -12.60     0.042
  -42.69   -17.22   -33.96       -42.70   -17.22   -33.95     0.018
    5.07    14.90    -1.31         4.92    14.93    -1.33     0.156
  -34.96    -2.32   -16.65       -35.03    -2.30   -16.58     0.094
   -3.21     5.84    60.79        -3.28     5.82    60.79     0.070
  -35.02     3.15   -41.88       -34.95     3.11   -41.82     0.105
   -9.51    23.97    36.37        -9.57    24.11    36.40     0.155
   27.32   -11.15   -18.83        27.31   -11.14   -18.83     0.010
   21.53    16.22    48.63        21.42    16.15    48.63     0.137
   24.38    20.68     2.99        24.41    20.72     2.99     0.052
  -13.80   -31.65   -29.33       -13.74   -31.76   -29.32     0.128
   27.38    -9.35    -9.24        27.38    -9.35    -9.24     0.000
    0.97    15.01     7.29         0.94    15.06     7.27     0.060
    6.23    -0.76   -19.96         6.23    -0.75   -19.98     0.023
   14.54    22.37    54.61        14.54    22.37    54.61     0.004
   19.99     5.71    66.17        19.99     5.72    66.19     0.025
   17.55     8.43   -27.30        17.53     8.41   -27.33     0.038
   -3.82    11.69    49.65        -3.89    11.69    49.67     0.065
  -36.18   -17.69   -44.53       -36.13   -17.65   -44.48     0.074
  -16.89   -31.74   -25.04       -16.89   -31.75   -25.04     0.009
   31.16    -4.83    -2.23        31.16    -4.83    -2.23     0.005
   31.53    11.65   -11.04        31.58    11.68   -11.05     0.051
   11.25    -5.45    22.13        11.28    -5.35    22.09     0.112
   21.06     6.91   -27.21        21.05     6.94   -27.29     0.085
  -37.53   -16.13   -42.54       -37.56   -16.15   -42.54     0.031
  -26.78    -0.69   -14.29       -26.79    -0.65   -14.25     0.050
  -24.87    10.45   -39.38       -24.86    10.44   -39.37     0.008
  -39.63     0.57   -27.27       -39.57     0.55   -27.30     0.067
  -23.59   -17.22   -51.90       -23.59   -17.22   -51.92     0.022
    4.63     6.18   -13.05         4.58     6.06   -12.98     0.149
   21.30    16.32    44.32        21.34    16.35    44.32     0.051
   31.91    -0.51   -19.94        31.95    -0.53   -19.96     0.047
  -18.24   -21.22   -11.18       -18.21   -21.31   -11.11     0.114
  -14.44    21.17    30.52       -14.43    21.17    30.52     0.008
   21.33    22.18    10.37        21.28    22.06    10.35     0.136
    3.79   -14.71   -23.51         3.85   -14.74   -23.54     0.068
  -24.03    -8.73   -10.15       -24.04    -8.72   -10.13     0.021
  -39.29   -22.18   -35.63       -39.26   -22.16   -35.61     0.031
   33.26    -0.66   -14.75        33.33    -0.69   -14.76     0.074
   23.72    -8.85     0.23        23.71    -8.80     0.22     0.046
   19.14    21.92   -12.01        19.15    21.96   -12.02     0.040
    6.45    16.67   -16.09         6.36    16.62   -16.08     0.111
    5.51    -3.66    65.51         5.52    -3.60    65.49     0.062
   20.58    19.20    24.41        20.62    19.23    24.42     0.050
   20.49    22.76     1.99        20.58    22.94     2.00     0.200
  -17.04    -7.39   -52.75       -17.05    -7.39   -52.78     0.026
    6.72    18.20    -5.53         6.64    18.23    -5.53     0.088
    7.21    14.76   -16.78         7.18    14.75   -16.78     0.027
   17.17    -3.86    36.41        17.17    -3.84    36.41     0.016
  -12.52     4.95    -8.39       -12.49     4.89    -8.41     0.073
   -1.88    -7.80   -36.85        -1.89    -7.80   -36.85     0.015
   -1.18    -6.48   -30.99        -1.21    -6.49   -30.98     0.037
    4.19    -2.45    45.16         4.21    -2.40    45.16     0.055
    9.93    -3.72    51.08         9.93    -3.70    51.09     0.024
   17.56    21.98    41.42        17.57    21.98    41.42     0.007
  -14.73     3.78    -7.82       -14.60     3.64    -7.88     0.198
  -39.54   -10.03   -37.72       -39.56   -10.02   -37.77     0.057
   17.25    21.15    56.56        17.29    21.20    56.56     0.064
    6.07    17.80    -4.28         5.95    17.85    -4.30     0.133
   -1.69   -10.45     1.92        -1.69   -10.47     1.93     0.019
    3.48    -9.91    11.33         3.50    -9.83    11.28     0.101
   23.47    -4.75    17.58        23.44    -4.61    17.55     0.147
  -30.58     9.81   -28.20       -30.57     9.79   -28.21     0.021
  -37.81   -14.20   -17.91       -37.86   -14.21   -17.87     0.063
   -7.10   -27.76   -31.83        -7.05   -27.84   -31.84     0.092
    8.15    11.87    -6.38         8.23    11.88    -6.36     0.087
   -3.13    18.49    17.07        -3.14    18.52    17.06     0.034
   19.50    21.01    21.91        19.51    21.03    21.92     0.017
   22.78    13.17    37.21        23.01    13.30    37.23     0.267
  -12.45    23.29    33.08       -12.47    23.32    33.08     0.031
  -17.44   -32.49   -28.40       -17.44   -32.49   -28.40     0.004
    6.16    14.13    -3.45         6.21    14.14    -3.43     0.050
    2.39   -18.63   -23.75         2.34   -18.61   -23.73     0.067
    9.31    21.38    -5.27         9.34    21.35    -5.27     0.047
   -1.94    18.26    15.58        -1.89    18.22    15.64     0.090
   18.85    -3.54    39.31        18.74    -3.27    39.27     0.295
   25.30    19.23    -3.12        25.32    19.24    -3.12     0.023
  -27.11   -18.23   -50.64       -27.11   -18.23   -50.62     0.027
   25.64     7.55   -26.10        25.67     7.58   -26.15     0.065
   18.51    -1.81    60.89        18.44    -1.76    60.89     0.088
    8.06    -4.48    28.67         8.07    -4.55    28.69     0.079
   16.70    -3.66    47.64        16.70    -3.58    47.64     0.077
   14.10    11.55   -27.80        14.12    11.55   -27.73     0.066
  -28.93   -24.36   -15.87       -28.88   -24.28   -15.94     0.114
  -38.80   -18.92   -21.95       -38.81   -18.92   -21.94     0.017
    2.98   -20.02   -21.47         2.93   -20.00   -21.43     0.066
   -2.23    20.97    19.33        -2.18    20.89    19.39     0.110
    1.76    -5.69   -26.48         1.85    -5.62   -26.56     0.142
   -3.78     8.67    63.33        -3.97     8.67    63.33     0.186
   14.00    23.38    -4.49        14.03    23.31    -4.48     0.079
   20.98    10.24   -26.72        20.97    10.23   -26.70     0.027
   27.64    16.80    -2.11        27.61    16.79    -2.11     0.033
   -4.26    13.99    11.33        -4.23    13.92    11.35     0.076
   -2.13    17.74    15.49        -2.17    17.81    15.46     0.085
  -11.56   -28.08   -41.86       -11.60   -28.02   -41.82     0.079
   -0.98    17.33    53.99        -1.11    17.48    54.01     0.201
   -2.79   -17.39   -41.78        -2.82   -17.38   -41.76     0.031
    0.36    13.31     2.79         0.36    13.31     2.79     0.003
   -6.09   -11.85    -2.20        -6.08   -11.79    -2.24     0.067
  -24.87    11.92   -27.19       -24.87    11.92   -27.19     0.003
   29.51    -7.76   -19.64        29.43    -7.73   -19.62     0.087
    6.00    17.94    -4.44         6.00    17.94    -4.44     0.003
    9.13     7.17    67.25         9.12     7.18    67.24     0.011
  -36.56   -24.13   -37.39       -36.65   -24.26   -37.49     0.190
   -3.03   -24.31   -22.26        -3.04   -24.29   -22.26     0.021
   16.17    12.19    65.38        16.17    12.19    65.41     0.027
  -11.26    23.52    36.35       -11.23    23.44    36.34     0.087
    6.54     2.60   -16.65         6.50     2.58   -16.61     0.066
    1.89     5.90   -13.98         1.90     5.94   -13.99     0.037
   11.34   -14.31    -2.41        11.34   -14.30    -2.42     0.019
   -6.10    -7.85     4.79        -6.14    -7.92     4.81     0.092
   30.54    -5.63    -3.22        30.55    -5.63    -3.22     0.008
   18.13    20.31    33.49        18.29    20.46    33.46     0.224
   -6.04    24.53    34.35        -6.05    24.50    34.34     0.035
  -36.09   -24.91   -37.30       -36.07   -24.87   -37.28     0.049
    8.19    21.73    41.57         8.19    21.70    41.57     0.032
   31.30    12.34    -5.77        31.28    12.31    -5.77     0.039
    3.69    22.42    26.91         3.71    22.57    26.91     0.145
    4.87    -3.43    64.48         4.84    -3.53    64.47     0.097
  -26.99    11.17   -25.82       -27.00    11.20   -25.82     0.027
   -7.43     7.19     0.66        -7.51     7.32     0.62     0.157
   23.63     0.44    34.68        23.56     0.47    34.67     0.074
   33.81    -0.53    -9.87        33.85    -0.57    -9.87     0.060
  -37.83   -17.36   -41.53       -37.80   -17.38   -41.54     0.032
    4.11    20.26     9.34         4.12    20.25     9.34     0.013
   -5.04   -11.75    -2.18        -5.04   -11.79    -2.16     0.048
   21.75     1.56    49.43        21.80     1.54    49.44     0.057
   -6.25   -16.88    -9.65        -6.26   -16.94    -9.60     0.087
  -37.15   -18.88   -19.39       -37.11   -18.85   -19.42     0.056
    1.32    -1.27    59.25         1.34    -1.25    59.25     0.026
  -13.11    10.87   -27.78       -13.12    10.84   -27.78     0.032
   10.82    -5.18    21.87        10.80    -5.26    21.89     0.087
   12.75    22.86    36.04        12.75    22.85    36.04     0.013
    2.70   -10.23     8.98         2.71   -10.18     8.97     0.052
  -21.03   -30.06   -18.99       -21.02   -30.05   -18.99     0.009
   27.24    17.13   -12.91        27.17    17.07   -12.89     0.089
    3.57   -15.15   -23.93         3.54   -15.14   -23.91     0.043
   22.89    15.13    26.26        22.79    15.08    26.25     0.111
   23.15    12.86    41.22        23.15    12.86    41.22     0.006
    0.37    17.70    12.50         0.40    17.68    12.51     0.036
  -21.95     9.95   -20.91       -21.94    10.02   -20.84     0.107
   22.78     8.32   -26.68        22.78     8.33   -26.70     0.026
    4.11   -17.66   -11.17         4.09   -17.61   -11.18     0.056
  -30.78   -29.76   -31.54       -30.75   -29.71   -31.54     0.049
  -16.53   -30.20   -40.65       -16.53   -30.21   -40.65     0.015
  -31.71   -14.29   -11.50       -31.71   -14.29   -11.50     0.000
  -40.18   -13.74   -20.90       -40.17   -13.74   -20.90     0.008
  -28.83   -30.07   -24.34       -28.80   -30.02   -24.35     0.054
   16.86   -12.05    -2.07        16.85   -12.01    -2.09     0.046
   -8.66   -24.60   -17.49        -8.71   -24.55   -17.51     0.074
   25.70     4.49    29.09        25.68     4.49    29.09     0.016
   -1.15     7.67    -8.93        -1.15     7.69    -8.94     0.017
  -29.95   -27.51   -20.35       -29.98   -27.54   -20.32     0.051
  -18.23   -28.70   -43.70       -18.23   -28.70   -43.70     0.002
   30.77    -0.06    12.52        30.74    -0.05    12.51     0.031
  -26.97   -14.61   -51.45       -26.97   -14.58   -51.41     0.057
    2.47    -3.20    39.08         2.46    -3.13    39.05     0.077
   23.68    12.71    31.11        23.69    12.72    31.11     0.022
   22.82    13.90   -22.77        22.83    13.91   -22.78     0.020
   20.69     7.04    65.70        20.68     7.03    65.67     0.039
  -27.43     1.36   -15.11       -27.44     1.29   -15.24     0.136
   19.34    10.45    65.61        19.34    10.44    65.59     0.019
   -6.37    14.46    15.71        -6.40    14.49    15.69     0.055
  -26.28     9.70   -39.65       -26.26     9.65   -39.63     0.060
  -39.77    -2.38   -41.07       -39.63    -2.46   -41.01     0.167
    0.07   -13.54   -32.29         0.07   -13.54   -32.29     0.002
   27.90     9.87   -21.68        28.00     9.97   -21.73     0.153
   15.61    -8.59   -25.58        15.61    -8.59   -25.58     0.002
   19.41     0.92   -26.17        19.40     0.92   -26.18     0.013
   -3.11     5.61    42.43        -3.30     5.56    42.44     0.187
  -27.65   -30.71   -36.86       -27.68   -30.82   -36.91     0.125
   -0.34    -8.75    11.95        -0.45    -9.00    11.99     0.272
   16.62     4.40   -24.21        16.67     4.40   -24.17     0.064
   15.57     9.49    65.85        15.56     9.48    65.81     0.034
  -27.53   -23.23   -47.59       -27.49   -23.16   -47.50     0.119
   20.67     3.82   -27.09        20.68     3.82   -27.07     0.029
    9.41    11.59   -12.19         9.39    11.58   -12.20     0.026
   22.98    20.81    11.78        23.01    20.84    11.79     0.049
   -0.72    16.16    11.14        -0.70    16.16    11.15     0.019
  -18.68     0.04   -51.63       -18.68     0.02   -51.61     0.028
   26.00    10.56    18.97        26.05    10.57    18.98     0.055
  -21.68   -31.21   -22.02       -21.69   -31.23   -22.02     0.021
    3.01    19.46    61.95         3.01    19.46    61.95     0.000
   -4.23   -12.76   -44.32        -4.19   -12.76   -44.36     0.058
  -32.91   -20.65   -45.46       -32.96   -20.68   -45.50     0.073
  -38.80     2.79   -33.85       -38.74     2.73   -33.86     0.086
    5.04    -1.01   -21.04         5.05    -1.00   -21.06     0.023
  -25.57     6.57   -18.21       -25.57     6.54   -18.25     0.052
  -11.92   -28.58   -41.61       -11.98   -28.47   -41.52     0.151
  -17.33   -32.42   -33.75       -17.33   -32.42   -33.75     0.006
  -32.45   -11.57   -11.84       -32.45   -11.57   -11.86     0.022
   -0.28    17.93    55.76        -0.33    17.99    55.76     0.078
   13.13    -4.21    30.06        13.12    -4.25    30.07     0.047
  -34.98    -1.80   -46.47       -34.96    -1.81   -46.44     0.046
  -32.03   -26.38   -20.45       -31.98   -26.32   -20.49     0.083
   -2.01   -21.24   -38.44        -2.01   -21.24   -38.43     0.006
   28.84     8.65   -21.87        28.84     8.65   -21.87     0.000
   11.15     1.11   -16.97        11.17     1.11   -16.95     0.031
   -4.31    10.57    45.93        -4.29    10.58    45.92     0.027
    4.38    21.60    35.76         4.38    21.64    35.77     0.047
   -6.66    15.99    18.40        -6.65    15.98    18.41     0.022
  -25.00   -20.57   -50.28       -24.99   -20.53   -50.23     0.067
   32.91    -1.79     7.74        32.92    -1.79     7.75     0.001
    1.03    -1.02    58.70         1.07    -0.99    58.69     0.041
  -12.92     9.57   -38.85       -12.92     9.58   -38.86     0.013
  -43.30    -5.37   -30.61       -43.33    -5.35   -30.60     0.042
  -19.18   -31.31   -22.40       -19.17   -31.43   -22.38     0.116
  -21.77   -20.16   -10.47       -21.79   -20.20   -10.41     0.080
   31.85    -4.79     4.25        31.94    -4.87     4.25     0.117
  -14.44     8.14   -18.12       -14.45     8.20   -18.09     0.064
   -3.00    -5.87    22.08        -3.10    -5.97    22.09     0.139
  -21.30   -23.97   -13.29       -21.29   -23.92   -13.35     0.073
   31.14    -2.51   -20.49        31.24    -2.54   -20.53     0.104
   -4.59    18.29    46.82        -4.38    18.27    46.72     0.228
   22.88    21.13     9.00        22.99    21.25     9.02     0.168
  -40.13   -21.82   -33.25       -40.12   -21.81   -33.25     0.015
   10.94    23.78    16.09        10.89    23.59    16.07     0.197
    0.47    -2.51    40.37         0.43    -2.57    40.37     0.077
    5.10   -14.72   -22.00         5.09   -14.71   -21.97     0.035
  -30.08   -26.47   -42.60       -30.02   -26.38   -42.55     0.113
   -9.50   -24.25   -44.34        -9.41   -24.31   -44.41     0.128
  -14.01     1.60   -50.04       -14.01     1.63   -50.08     0.050
   29.68    14.06    -3.85        29.68    14.07    -3.85     0.011
   11.98    22.46    26.34        11.98    22.50    26.35     0.042
   16.99    23.77    -0.99        16.98    23.66    -0.97     0.114
   24.52    20.51     0.04        24.49    20.48     0.04     0.040
  -33.24    -9.55   -12.46       -33.24    -9.55   -12.47     0.008
   32.66     4.15   -15.99        32.57     4.09   -15.92     0.133
  -21.05   -22.20   -12.03       -21.05   -22.23   -11.99     0.051
  -42.58   -11.12   -26.54       -42.53   -11.12   -26.55     0.050
    9.26    23.51    15.28         9.25    23.59    15.29     0.082
   26.02    -9.35   -22.04        26.05    -9.39   -22.07     0.060
  -19.56   -11.90   -53.45       -19.57   -11.89   -53.39     0.058
    9.98    20.96   -15.28         9.97    20.99   -15.28     0.031
   24.20     4.88   -27.85        24.19     4.88   -27.88     0.024
  -14.07   -23.28   -13.74       -14.07   -23.29   -13.74     0.010
    1.24    -9.84    11.84         1.25    -9.68    11.82     0.163
   20.66    -4.18    25.67        20.71    -4.28    25.69     0.109
   -8.85    19.78    23.40        -8.84    19.76    23.42     0.031
   14.47    23.96    43.47        14.41    23.78    43.49     0.194
   16.67    -2.82   -23.16        16.66    -2.82   -23.18     0.026
  -21.14    11.21   -38.89       -21.14    11.28   -38.90     0.075
   22.04     5.35    63.65        22.15     5.33    63.66     0.109
  -12.46    -8.21   -52.54       -12.45    -8.20   -52.55     0.017
   -4.01     8.71    45.75        -3.93     8.73    45.73     0.085
  -10.35    19.70    42.57       -10.39    19.72    42.63     0.070
   17.84    24.07     3.68        17.85    24.11     3.68     0.045
  -34.94    -1.19   -45.91       -34.99    -1.16   -45.96     0.080
   -9.58   -25.77   -18.39        -9.58   -25.76   -18.39     0.014
   29.36    -6.81    -0.53        29.45    -6.87    -0.51     0.115
  -23.66    -3.78   -51.84       -23.67    -3.77   -51.79     0.046
   33.61    11.44    -0.57        33.58    11.41    -0.56     0.044
   33.31     3.56     7.94        33.27     3.55     7.92     0.046
    3.58    -2.70    58.89         3.64    -2.59    58.89     0.131
  -21.64     9.80   -41.87       -21.64     9.79   -41.86     0.014
    2.88     1.97   -19.92         2.85     1.94   -19.90     0.045
  -27.81   -24.91   -15.79       -27.89   -24.99   -15.70     0.147
   11.80     4.59   -16.90        11.82     4.58   -16.89     0.021
   -2.27    -3.29   -31.47        -2.21    -3.26   -31.47     0.071
   33.65     8.29   -11.04        33.68     8.32   -11.06     0.041
  -33.46     7.42   -35.73       -33.48     7.45   -35.75     0.030
   20.27    22.98     6.21        20.31    23.05     6.21     0.076
    7.15    20.69    59.28         7.09    20.82    59.27     0.141
  -30.88     8.27   -36.93       -30.89     8.29   -36.94     0.020
  -13.90     4.08    -7.11       -13.84     4.02    -7.14     0.091
   26.44    18.08    -9.34        26.41    18.04    -9.34     0.045
    0.88   -11.23   -29.11         0.90   -11.22   -29.13     0.028
  -18.82    11.56   -25.37       -18.82    11.63   -25.38     0.069
  -35.07   -19.04   -16.91       -34.99   -19.00   -16.97     0.109
  -13.58    11.67    34.13       -13.60    11.58    34.14     0.088
   26.41    10.89   -22.21        26.43    10.93   -22.23     0.045
    5.06    -2.75    41.73         5.06    -2.78    41.73     0.023
   -3.16     6.85    51.98        -3.23     6.84    51.98     0.072
  -16.66    -8.18   -52.91       -16.65    -8.18   -52.84     0.074
   21.54    22.37     1.94        21.58    22.45     1.94     0.087
   10.82     7.83    66.02        10.84     7.82    66.03     0.020
    1.58     7.26    66.23         1.59     7.26    66.25     0.024
  -21.33   -10.20    -7.68       -21.36   -10.20    -7.64     0.046
   16.86    21.51    62.68        16.85    21.49    62.68     0.021
    6.41    22.72    13.92         6.37    22.79    13.92     0.077
   18.01    -2.68    50.58        18.13    -2.87    50.59     0.231
   14.66    -3.59    55.15        14.66    -3.68    55.16     0.098
    2.12   -13.40   -26.18         2.13   -13.40   -26.18     0.006
  -26.09   -11.50   -52.39       -26.06   -11.47   -52.35     0.057
